,C_minmax,I_minmax,Q_minmax,index_minmax,C_robust,I_robust,Q_robust,index_robust,C_percentile,I_percentile,Q_percentile,index_percentile
2011-03-01,0.4130434782608693,0.46875,0.49367284384507565,0.45848877403531496,0.25190839694656436,0.3999999999999999,0.409609021447209,0.35383913946459106,0.4972067039106145,0.40782122905027934,0.329608938547486,0.41154562383612664
2011-04-01,0.4021739130434782,0.53125,0.5214614327672644,0.48496178193691425,0.2328244274809159,0.5,0.47309320374086417,0.4019725437405934,0.4720670391061452,0.5502793296089385,0.39664804469273746,0.4729981378026071
2011-05-01,0.4021739130434782,0.5937500000000001,0.5100775463609301,0.5020004864681361,0.2328244274809159,0.6000000000000001,0.4470862437669832,0.42663689041596636,0.4720670391061452,0.6424581005586593,0.35195530726256985,0.48882681564245817
2011-06-01,0.3804347826086957,0.5937500000000001,0.5148555804729315,0.4963467876938757,0.19465648854961828,0.6000000000000001,0.45800186058440995,0.4175527830446761,0.4273743016759777,0.6424581005586593,0.36312849162011174,0.4776536312849163
2011-07-01,0.3695652173913042,0.6562499999999999,0.47696123400971574,0.50092548380034,0.17557251908396918,0.6999999999999997,0.37143065664505454,0.4156677252430078,0.4022346368715084,0.7122905027932961,0.3016759776536313,0.4720670391061453
2011-08-01,0.39130434782608675,0.7187499999999999,0.489459786502071,0.5331713781093859,0.21374045801526675,0.7999999999999998,0.39998411745781054,0.4712415251576923,0.44692737430167595,0.8296089385474861,0.3240223463687151,0.5335195530726257
2011-09-01,0.4456521739130433,0.7500000000000001,0.521321326005967,0.5723244999730035,0.3091603053435111,0.8500000000000001,0.47277312404197464,0.5439778097951619,0.5698324022346368,0.8491620111731844,0.3854748603351955,0.6014897579143389
2011-10-01,0.49999999999999983,0.78125,0.5467795365116633,0.609343178837221,0.40458015267175534,0.8999999999999999,0.5309334603274694,0.6118378709997415,0.6759776536312849,0.8603351955307262,0.4301675977653631,0.6554934823091247
2011-11-01,0.48913043478260876,0.8124999999999999,0.5508862401844663,0.6175055583223583,0.3854961832061069,0.9499999999999997,0.5403153949525152,0.625270526052874,0.6508379888268156,0.8798882681564246,0.4581005586592179,0.6629422718808194
2011-12-01,0.48913043478260876,0.84375,0.47596304707410353,0.6029478272855707,0.3854961832061069,1.0,0.36915025724942524,0.5848821468185107,0.6508379888268156,0.9050279329608939,0.29608938547486036,0.61731843575419
2012-01-01,0.4782608695652173,0.9062500000000001,0.5479232769090815,0.6441447154914329,0.3664122137404578,1.0,0.5335463826348822,0.6333195321251134,0.61731843575419,0.9413407821229051,0.43575418994413406,0.664804469273743
2012-02-01,0.4782608695652173,0.9375,0.6067715648490398,0.6741774781380857,0.3664122137404578,1.0,0.6679877337128683,0.6781333158177754,0.61731843575419,0.9553072625698324,0.5754189944134078,0.7160148975791435
2012-03-01,0.4782608695652173,0.9375,0.6000002360002822,0.6719203685218331,0.3664122137404578,1.0,0.6525183525144022,0.6729768554182867,0.61731843575419,0.9553072625698324,0.5586592178770949,0.7104283054003725
2012-04-01,0.4782608695652173,0.9687499999999999,0.6093504190295059,0.6854537628649077,0.3664122137404578,1.0,0.6738792328947769,0.6800971488784114,0.61731843575419,0.9720670391061452,0.5810055865921788,0.7234636871508379
2012-05-01,0.4782608695652173,1.0,0.5888548213331224,0.6890385636327799,0.3664122137404578,1.0,0.627056191105286,0.6644894682819146,0.61731843575419,0.9916201117318436,0.5418994413407822,0.7169459962756052
2012-06-01,0.46739130434782583,0.9687499999999999,0.5729604473702582,0.669700583906028,0.34732824427480863,1.0,0.5907448355007453,0.6460243599251846,0.5949720670391061,0.9720670391061452,0.5083798882681564,0.6918063314711359
2012-07-01,0.4347826086956522,1.0,0.5426699181945578,0.6591508422967367,0.2900763358778626,1.0,0.5215448670768004,0.603873734318221,0.5418994413407822,0.9916201117318436,0.41899441340782123,0.6508379888268156
2012-08-01,0.4021739130434782,1.0,0.5214156623298596,0.6411965251244459,0.2328244274809159,1.0,0.47298863928097,0.5686043555872953,0.4720670391061452,0.9916201117318436,0.39106145251396646,0.6182495344506518
2012-09-01,0.3804347826086957,1.0,0.5833943552480831,0.6546097126189263,0.19465648854961828,1.0,0.6145815301816376,0.6030793395770853,0.4273743016759777,0.9916201117318436,0.5307262569832403,0.6499068901303539
2012-10-01,0.35869565217391275,0.9687499999999999,0.5669904632674103,0.6314787051471077,0.15648854961832004,1.0,0.5771061595630551,0.5778649030604585,0.3743016759776536,0.9720670391061452,0.5027932960893855,0.6163873370577281
2012-11-01,0.3695652173913042,0.9375,0.5537552530867107,0.6202734901593383,0.17557251908396918,1.0,0.5468697737516307,0.5741474309451999,0.4022346368715084,0.9553072625698324,0.46368715083798884,0.6070763500931099
2012-12-01,0.3695652173913042,0.9062500000000001,0.44596224136903034,0.5739258195867781,0.17557251908396918,1.0,0.3006121740934066,0.49206156439245863,0.4022346368715084,0.9413407821229051,0.27932960893854747,0.5409683426443203
2013-01-01,0.3804347826086957,0.8749999999999999,0.48530897959824143,0.5802479207356457,0.19465648854961828,1.0,0.3905014271748912,0.5283859719081698,0.4273743016759777,0.9273743016759777,0.31843575418994413,0.5577281191806331
