Data;29033 - Comprometimento de renda das famílias com juros da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29034 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29035 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional exceto crédito habitacional - Com ajuste sazonal (RNDBF) - %;29036 - Comprometimento de renda das famílias com amortização da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %;29038 - Endividamento das famílias com o Sistema Financeiro Nacional exceto crédito habitacional em relação à renda acumulada dos últimos 12 meses (RNDBF) - %;29263 - Comprometimento de renda das famílias com amortização da dívida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29264 - Comprometimento de renda das famílias com juros da dívida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29265 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %;29266 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional exceto crédito habitacional - Sem ajuste sazonal (RNDBF) - %
01/2017;8,54 ;23,44 ;21,36 ;14,90 ;38,05 ;22,17 ;14,27 ;8,00 ;22,27 ;20,30
02/2017;8,48 ;23,26 ;21,13 ;14,78 ;37,92 ;22,01 ;14,61 ;8,25 ;22,86 ;20,83
03/2017;8,47 ;23,19 ;21,08 ;14,72 ;37,83 ;21,95 ;15,36 ;8,83 ;24,19 ;22,02
04/2017;8,28 ;22,79 ;20,72 ;14,51 ;37,50 ;21,68 ;15,15 ;8,74 ;23,89 ;21,72
05/2017;8,08 ;22,44 ;20,38 ;14,36 ;37,42 ;21,66 ;14,98 ;8,51 ;23,49 ;21,34
06/2017;8,01 ;22,34 ;20,39 ;14,33 ;37,37 ;21,62 ;14,70 ;8,23 ;22,93 ;20,81
07/2017;8,01 ;22,57 ;20,53 ;14,56 ;37,37 ;21,60 ;14,56 ;8,07 ;22,63 ;20,53
08/2017;8,13 ;22,92 ;20,80 ;14,79 ;37,41 ;21,63 ;14,67 ;8,12 ;22,79 ;20,67
09/2017;8,12 ;23,07 ;20,87 ;14,95 ;37,28 ;21,53 ;14,75 ;8,10 ;22,85 ;20,73
10/2017;8,02 ;22,78 ;20,68 ;14,76 ;37,34 ;21,63 ;14,77 ;8,05 ;22,82 ;20,70
11/2017;7,92 ;22,58 ;20,48 ;14,66 ;37,42 ;21,74 ;14,32 ;7,72 ;22,04 ;19,99
12/2017;7,82 ;22,36 ;20,26 ;14,54 ;37,27 ;21,65 ;13,64 ;7,23 ;20,87 ;18,94
01/2018;7,77 ;22,25 ;20,15 ;14,48 ;37,31 ;21,77 ;13,83 ;7,23 ;21,06 ;19,13
02/2018;7,74 ;22,25 ;20,11 ;14,51 ;37,29 ;21,73 ;14,38 ;7,52 ;21,90 ;19,88
03/2018;7,75 ;22,34 ;20,24 ;14,59 ;37,32 ;21,76 ;15,34 ;8,14 ;23,48 ;21,32
04/2018;7,81 ;22,62 ;20,46 ;14,81 ;37,55 ;21,92 ;15,56 ;8,34 ;23,90 ;21,69
05/2018;7,85 ;22,87 ;20,70 ;15,02 ;37,84 ;22,12 ;15,70 ;8,36 ;24,06 ;21,83
06/2018;8,00 ;23,08 ;21,18 ;15,08 ;37,94 ;22,19 ;15,45 ;8,16 ;23,61 ;21,42
07/2018;7,76 ;22,78 ;20,72 ;15,02 ;37,91 ;22,21 ;14,89 ;7,76 ;22,65 ;20,55
08/2018;7,62 ;22,52 ;20,44 ;14,90 ;38,09 ;22,43 ;14,63 ;7,55 ;22,18 ;20,13
09/2018;7,59 ;22,56 ;20,49 ;14,97 ;38,11 ;22,40 ;14,66 ;7,50 ;22,16 ;20,11
10/2018;7,59 ;22,54 ;20,50 ;14,95 ;38,38 ;22,65 ;14,88 ;7,59 ;22,47 ;20,41
11/2018;7,63 ;22,69 ;20,60 ;15,06 ;38,85 ;23,07 ;14,79 ;7,48 ;22,27 ;20,24
12/2018;7,70 ;22,99 ;20,87 ;15,29 ;39,06 ;23,24 ;14,43 ;7,15 ;21,58 ;19,65
01/2019;7,75 ;23,12 ;21,00 ;15,37 ;39,29 ;23,50 ;14,84 ;7,28 ;22,12 ;20,17
02/2019;7,83 ;23,30 ;21,18 ;15,47 ;39,55 ;23,69 ;15,47 ;7,63 ;23,10 ;21,08
03/2019;7,81 ;23,33 ;21,19 ;15,52 ;39,60 ;23,71 ;16,41 ;8,27 ;24,68 ;22,52
04/2019;7,98 ;23,78 ;21,66 ;15,80 ;39,82 ;23,92 ;16,62 ;8,52 ;25,14 ;22,94
05/2019;8,11 ;24,13 ;21,99 ;16,02 ;40,12 ;24,19 ;16,66 ;8,60 ;25,26 ;23,05
06/2019;8,62 ;25,24 ;23,31 ;16,62 ;40,56 ;24,48 ;16,86 ;8,74 ;25,60 ;23,38
07/2019;8,43 ;24,92 ;22,85 ;16,49 ;40,73 ;24,68 ;16,13 ;8,33 ;24,46 ;22,36
08/2019;8,43 ;24,97 ;22,90 ;16,54 ;41,13 ;25,04 ;16,09 ;8,27 ;24,36 ;22,29
09/2019;8,12 ;24,19 ;22,18 ;16,07 ;41,22 ;25,14 ;15,66 ;7,98 ;23,64 ;21,65
10/2019;8,01 ;23,86 ;21,86 ;15,85 ;41,35 ;25,30 ;15,79 ;8,01 ;23,80 ;21,82
11/2019;7,84 ;23,35 ;21,41 ;15,51 ;41,58 ;25,50 ;15,41 ;7,75 ;23,16 ;21,25
12/2019;7,68 ;23,03 ;21,07 ;15,35 ;41,47 ;25,52 ;14,61 ;7,19 ;21,80 ;20,02
01/2020;7,60 ;22,97 ;20,99 ;15,37 ;41,51 ;25,65 ;14,99 ;7,20 ;22,19 ;20,37
02/2020;7,55 ;22,94 ;21,06 ;15,39 ;41,46 ;25,62 ;15,52 ;7,38 ;22,90 ;21,02
03/2020;7,76 ;23,94 ;21,93 ;16,18 ;41,55 ;25,62 ;17,17 ;8,24 ;25,41 ;23,31
04/2020;7,61 ;23,37 ;21,31 ;15,76 ;40,86 ;25,00 ;16,57 ;8,17 ;24,74 ;22,65
05/2020;7,22 ;21,88 ;19,93 ;14,66 ;40,03 ;24,29 ;15,21 ;7,68 ;22,89 ;20,89
06/2020;6,95 ;20,50 ;18,91 ;13,55 ;39,37 ;23,80 ;13,60 ;6,98 ;20,58 ;18,70
07/2020;6,73 ;20,11 ;18,32 ;13,38 ;39,23 ;23,72 ;12,77 ;6,51 ;19,28 ;17,49
08/2020;6,63 ;20,07 ;18,28 ;13,44 ;39,20 ;23,72 ;12,81 ;6,38 ;19,19 ;17,41
09/2020;6,64 ;20,40 ;18,59 ;13,76 ;39,59 ;24,01 ;13,36 ;6,48 ;19,84 ;18,02
10/2020;6,67 ;20,94 ;19,05 ;14,27 ;40,20 ;24,48 ;14,31 ;6,71 ;21,02 ;19,13
11/2020;6,85 ;21,81 ;19,84 ;14,96 ;41,03 ;25,12 ;15,09 ;6,89 ;21,98 ;20,03
12/2020;6,99 ;22,47 ;20,37 ;15,48 ;41,75 ;25,61 ;14,91 ;6,61 ;21,52 ;19,63
01/2021;7,09 ;22,72 ;20,62 ;15,63 ;42,06 ;25,80 ;15,39 ;6,77 ;22,16 ;20,22
02/2021;7,01 ;22,48 ;20,44 ;15,47 ;42,25 ;25,90 ;15,66 ;6,93 ;22,59 ;20,61
03/2021;7,06 ;22,78 ;20,75 ;15,72 ;42,43 ;25,98 ;16,72 ;7,54 ;24,26 ;22,13
04/2021;7,06 ;22,81 ;20,78 ;15,75 ;42,88 ;26,27 ;16,44 ;7,52 ;23,96 ;21,85
05/2021;7,15 ;23,18 ;21,15 ;16,03 ;43,83 ;26,90 ;16,47 ;7,54 ;24,01 ;21,89
06/2021;7,24 ;23,31 ;21,44 ;16,07 ;44,52 ;27,39 ;15,91 ;7,23 ;23,14 ;21,13
07/2021;7,31 ;23,65 ;21,72 ;16,34 ;45,18 ;27,83 ;15,58 ;6,98 ;22,56 ;20,62
08/2021;7,40 ;24,08 ;22,10 ;16,68 ;46,43 ;28,72 ;15,96 ;7,09 ;23,05 ;21,09
09/2021;7,66 ;25,00 ;22,95 ;17,34 ;47,47 ;29,46 ;17,05 ;7,55 ;24,60 ;22,54
10/2021;7,91 ;25,81 ;23,64 ;17,90 ;48,16 ;29,99 ;18,11 ;8,05 ;26,16 ;24,01
11/2021;8,02 ;26,10 ;23,94 ;18,08 ;48,92 ;30,59 ;18,39 ;8,17 ;26,56 ;24,42
12/2021;8,14 ;26,31 ;24,06 ;18,17 ;49,44 ;31,01 ;17,70 ;7,82 ;25,52 ;23,51
01/2022;8,35 ;26,66 ;24,49 ;18,31 ;49,60 ;31,17 ;18,10 ;8,06 ;26,16 ;24,13
02/2022;8,30 ;26,18 ;24,16 ;17,88 ;49,47 ;31,05 ;18,03 ;8,21 ;26,24 ;24,22
03/2022;8,23 ;25,92 ;23,90 ;17,69 ;49,52 ;31,09 ;18,62 ;8,70 ;27,32 ;25,22
04/2022;8,25 ;26,02 ;24,03 ;17,77 ;49,60 ;31,30 ;18,36 ;8,67 ;27,03 ;24,98
05/2022;8,18 ;25,80 ;23,95 ;17,62 ;49,49 ;31,25 ;17,96 ;8,48 ;26,44 ;24,46
06/2022;8,42 ;26,36 ;24,46 ;17,94 ;49,62 ;31,35 ;17,69 ;8,39 ;26,08 ;24,14
07/2022;8,69 ;26,91 ;24,95 ;18,22 ;49,88 ;31,48 ;17,43 ;8,33 ;25,76 ;23,85
08/2022;8,89 ;27,33 ;25,35 ;18,44 ;49,59 ;31,38 ;17,74 ;8,57 ;26,31 ;24,37
09/2022;9,05 ;27,54 ;25,59 ;18,49 ;49,48 ;31,32 ;18,31 ;8,96 ;27,27 ;25,27
10/2022;9,15 ;27,69 ;25,69 ;18,54 ;49,66 ;31,54 ;18,86 ;9,34 ;28,20 ;26,15
11/2022;9,20 ;27,75 ;25,74 ;18,55 ;49,41 ;31,39 ;18,94 ;9,39 ;28,33 ;26,28
12/2022;9,31 ;27,95 ;25,85 ;18,64 ;49,00 ;31,07 ;18,19 ;8,95 ;27,14 ;25,19
01/2023;9,39 ;28,05 ;25,99 ;18,66 ;48,95 ;31,09 ;18,42 ;9,07 ;27,49 ;25,52
02/2023;9,44 ;28,07 ;26,00 ;18,63 ;48,66 ;30,86 ;18,69 ;9,34 ;28,03 ;26,00
03/2023;9,46 ;28,07 ;26,03 ;18,61 ;48,58 ;30,74 ;19,50 ;9,91 ;29,41 ;27,27
04/2023;9,54 ;28,19 ;26,11 ;18,65 ;48,51 ;30,66 ;19,18 ;9,93 ;29,11 ;26,97
05/2023;9,65 ;28,38 ;26,34 ;18,73 ;48,83 ;30,87 ;19,02 ;9,92 ;28,94 ;26,81
06/2023;9,64 ;28,20 ;26,13 ;18,56 ;48,40 ;30,46 ;18,33 ;9,61 ;27,94 ;25,86
07/2023;9,49 ;27,77 ;25,72 ;18,28 ;47,98 ;30,13 ;17,54 ;9,14 ;26,68 ;24,68
08/2023;9,33 ;27,30 ;25,26 ;17,97 ;48,17 ;30,28 ;17,34 ;9,03 ;26,37 ;24,37
09/2023;9,35 ;27,28 ;25,21 ;17,93 ;48,06 ;30,11 ;17,82 ;9,30 ;27,12 ;25,04
10/2023;9,42 ;27,44 ;25,32 ;18,02 ;48,13 ;30,16 ;18,40 ;9,65 ;28,05 ;25,88
11/2023;9,27 ;27,02 ;24,90 ;17,75 ;48,13 ;30,16 ;18,13 ;9,47 ;27,60 ;25,45
12/2023;9,04 ;26,31 ;24,15 ;17,27 ;47,69 ;29,84 ;16,76 ;8,66 ;25,42 ;23,44
01/2024;9,01 ;26,24 ;24,16 ;17,23 ;47,84 ;30,06 ;16,93 ;8,67 ;25,60 ;23,60
02/2024;9,01 ;26,26 ;24,26 ;17,25 ;47,78 ;30,00 ;17,23 ;8,84 ;26,07 ;24,03
03/2024;9,04 ;26,52 ;24,44 ;17,48 ;47,76 ;29,97 ;18,37 ;9,51 ;27,88 ;25,70
04/2024;9,04 ;26,54 ;24,47 ;17,50 ;47,71 ;29,94 ;18,04 ;9,42 ;27,46 ;25,30
05/2024;8,97 ;26,42 ;24,37 ;17,45 ;47,58 ;29,82 ;17,72 ;9,23 ;26,95 ;24,83
06/2024;9,10 ;26,75 ;24,69 ;17,65 ;47,67 ;29,86 ;17,46 ;9,08 ;26,54 ;24,45
07/2024;9,15 ;26,89 ;24,80 ;17,74 ;47,85 ;29,97 ;17,06 ;8,82 ;25,88 ;23,84
08/2024;9,25 ;27,16 ;25,06 ;17,91 ;48,06 ;30,09 ;17,35 ;8,97 ;26,32 ;24,24
09/2024;9,21 ;27,06 ;24,94 ;17,85 ;48,03 ;30,04 ;17,75 ;9,19 ;26,94 ;24,81
10/2024;9,23 ;27,12 ;24,97 ;17,89 ;48,08 ;30,09 ;18,26 ;9,47 ;27,73 ;25,53
11/2024;9,20 ;27,01 ;24,90 ;17,81 ;48,30 ;30,28 ;18,14 ;9,36 ;27,50 ;25,33
12/2024;9,33 ;27,39 ;25,20 ;18,06 ;48,44 ;30,33 ;17,51 ;8,91 ;26,42 ;24,35
01/2025;9,40 ;27,57 ;25,41 ;18,17 ;48,63 ;30,55 ;17,83 ;9,04 ;26,87 ;24,78
02/2025;9,47 ;27,69 ;25,50 ;18,22 ;48,61 ;30,50 ;18,17 ;9,31 ;27,48 ;25,34
03/2025;9,57 ;27,86 ;25,66 ;18,29 ;48,97 ;30,76 ;19,21 ;10,07 ;29,28 ;27,01
04/2025;9,63 ;27,83 ;25,61 ;18,20 ;48,88 ;30,70 ;18,76 ;10,06 ;28,82 ;26,58
05/2025;9,81 ;28,09 ;25,96 ;18,28 ;48,88 ;30,62 ;18,56 ;10,06 ;28,62 ;26,40
06/2025;9,83 ;28,00 ;25,85 ;18,17 ;48,81 ;30,56 ;18,00 ;9,84 ;27,84 ;25,67
07/2025;9,85 ;27,97 ;25,84 ;18,12 ;48,64 ;30,47 ;17,46 ;9,53 ;26,99 ;24,90
08/2025;10,09 ;28,56 ;26,36 ;18,47 ;48,93 ;30,64 ;17,93 ;9,83 ;27,76 ;25,61
09/2025;10,23 ;28,84 ;26,67 ;18,61 ;49,08 ;30,72 ;18,50 ;10,17 ;28,67 ;26,44
10/2025;10,41 ;29,32 ;27,05 ;18,91 ;49,32 ;30,95 ;19,28 ;10,64 ;29,92 ;27,59
11/2025;10,32 ;29,02 ;26,77 ;18,70 ;49,67 ;31,22 ;18,99 ;10,47 ;29,46 ;27,19
12/2025;10,37 ;29,17 ;26,85 ;18,80 ;49,71 ;31,23 ;18,23 ;9,96 ;28,19 ;26,03
01/2026;10,48 ;29,33 ;27,07 ;18,85 ;49,69 ;31,27 ;18,50 ;10,11 ;28,61 ;26,43
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
